Chroma_CENS_0,Chroma_CENS_1,Chroma_CENS_2,Chroma_CENS_3,Chroma_CENS_4,Chroma_CENS_5,Chroma_CENS_6,Chroma_CENS_7,Chroma_CENS_8,Chroma_CENS_9,Chroma_CENS_10,Chroma_CENS_11,Gender
0.25069556,0.29045618,0.3052052,0.30384952,0.32373387,0.34204322,0.3326387,0.2974277,0.22449642,0.1911006,0.19658338,0.21260162,M
0.256418,0.33439147,0.4017418,0.35999593,0.29969543,0.24862485,0.21156217,0.19876403,0.2158627,0.22166935,0.16835181,0.20092526,M
0.27312502,0.3432255,0.39363623,0.37383637,0.34513927,0.22578317,0.17721404,0.22129013,0.21591192,0.21457274,0.20671779,0.21751828,M
0.30323398,0.30400574,0.29581454,0.2692297,0.27840063,0.19771394,0.22588018,0.29843453,0.18552889,0.24746676,0.29182458,0.23680238,M
0.35222676,0.30629125,0.31911436,0.26233682,0.22475138,0.16267703,0.14286181,0.18605632,0.20868741,0.24579042,0.3214366,0.3810109,M
0.39306456,0.28155681,0.22434977,0.18419681,0.19806592,0.2427195,0.23867287,0.34096387,0.20370719,0.19027556,0.22341178,0.33204293,M
0.2726388,0.3858524,0.33343145,0.33422697,0.2997743,0.24972625,0.22438332,0.17486663,0.18676144,0.14946622,0.18745866,0.23284858,M
0.41404077,0.4758143,0.2225342,0.11254884,0.05513253,0.13701129,0.24237315,0.19249855,0.16897959,0.16471533,0.28753796,0.39601585,M
0.36348063,0.34517872,0.30821472,0.25315213,0.2194488,0.2173122,0.2230605,0.19739039,0.17965125,0.20495552,0.31741476,0.3964192,M
0.34220004,0.24047561,0.24450299,0.23359658,0.22519307,0.24730547,0.2762708,0.23320778,0.19376989,0.23498063,0.3420949,0.38125756,M
0.26615292,0.24154833,0.15763494,0.12398493,0.15006363,0.1315622,0.09561058,0.15037324,0.2680418,0.46880984,0.4601215,0.35351944,M
0.4190071,0.32509768,0.31136468,0.23161025,0.19872361,0.25429043,0.20473793,0.17912908,0.17475931,0.14782469,0.19805889,0.36259955,M
0.3085481,0.29651743,0.3274367,0.30084002,0.3119474,0.30150524,0.28398424,0.2084248,0.1443263,0.16675527,0.23706724,0.3096099,M
0.12258284,0.12474432,0.21044202,0.33759126,0.35702494,0.38962364,0.3938046,0.26164156,0.18883112,0.20556997,0.17588079,0.1607291,M
0.27564982,0.24696296,0.22279464,0.1806471,0.19242527,0.24162902,0.25578418,0.20575255,0.22049062,0.32350945,0.43118793,0.40476334,M
0.22076271,0.19501047,0.17472105,0.1304641,0.17322594,0.15648583,0.17533611,0.21378544,0.36958423,0.6424744,0.24394454,0.21145979,F
0.20243478,0.21629496,0.2009003,0.20393369,0.17618668,0.21775818,0.3201428,0.39124924,0.40194795,0.3550007,0.26892015,0.21379156,F
0.22578886,0.20360085,0.20061402,0.1972499,0.21423398,0.2773323,0.33285517,0.420331,0.31418034,0.26182476,0.2219319,0.24014923,F
0.28263667,0.19546944,0.18477228,0.15613687,0.14876308,0.16634993,0.17962128,0.23274559,0.28729424,0.3624993,0.42798582,0.35653043,F
0.26982838,0.25416785,0.23377003,0.1701847,0.13890158,0.100873515,0.109518275,0.23965263,0.3576154,0.36147058,0.4250419,0.3580914,F
0.17946203,0.18640184,0.25581855,0.23413196,0.31075624,0.38373172,0.40822747,0.30308965,0.23932174,0.21625933,0.24942042,0.19975996,F
0.34180853,0.27502686,0.23101418,0.24197674,0.25003636,0.25041533,0.18476868,0.19418584,0.18295749,0.24303156,0.3780195,0.39336684,M
0.21497619,0.194757,0.21928054,0.21453732,0.2301843,0.29273644,0.31119868,0.29835033,0.29806116,0.31537303,0.28456703,0.25867295,M
0.10130827,0.1348399,0.395625,0.55540216,0.38604158,0.27076373,0.1401518,0.11530164,0.0642324,0.093908936,0.17283092,0.1340815,M
